"Step","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/accuracy","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/accuracy__MIN","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/accuracy__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/accuracy","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/accuracy__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/accuracy__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/accuracy","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/accuracy__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/accuracy__MAX","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy__MIN","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/accuracy","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/accuracy__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/accuracy__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy__MAX","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/accuracy","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/accuracy__MIN","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/accuracy","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/accuracy__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/accuracy__MAX","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy__MIN","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/accuracy","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/accuracy__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/accuracy__MAX","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy__MIN","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy__MAX","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/accuracy","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/accuracy__MIN","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/accuracy__MAX","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy__MIN","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/accuracy__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/accuracy","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/accuracy__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/accuracy","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/accuracy__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/accuracy__MAX"
"0","0.20048879378731926","0.20048879378731926","0.20048879378731926","0.2717449721718019","0.2717449721718019","0.2717449721718019","0.29515397355983547","0.29515397355983547","0.29515397355983547","0.28059906509484234","0.2776075283783021","0.2835906018113825","0.08197282363307329","0.08197282363307329","0.08197282363307329","0.07206120364895266","0.07206120364895266","0.07206120364895266","0.30627164875096957","0.30627164875096957","0.30627164875096957","0.25586515809152244","0.25586515809152244","0.25586515809152244","0.2033196164204739","0.2033196164204739","0.2033196164204739","0.3067909737586036","0.3067909737586036","0.3067909737586036","0.2641855849601378","0.2641855849601378","0.2641855849601378","0.00009933358148168408","0.00009933358148168408","0.00009933358148168408","0.2247199769594556","0.2247199769594556","0.2247199769594556","0.22062654710914464","0.22062654710914464","0.22062654710914464","0.0031699612192184123","0.0031699612192184123","0.0031699612192184123","0.1909119332321266","0.1909119332321266","0.1909119332321266","0.06509512818017991","0.06509512818017991","0.06509512818017991","0.06508777101887328","0.0634945362960359","0.06668100574171068"
"2","0.35097170480349144","0.35097170480349144","0.35097170480349144","0.4240240136319329","0.4240240136319329","0.4240240136319329","0.4089526473356703","0.4089526473356703","0.4089526473356703","0.38724252574207063","0.38408307561459837","0.3904019758695429","0.10134683667082711","0.10134683667082711","0.10134683667082711","0.09583254194958687","0.09583254194958687","0.09583254194958687","0.4406646188669019","0.4406646188669019","0.4406646188669019","0.40638693787492336","0.40638693787492336","0.40638693787492336","0.3699684907895064","0.3699684907895064","0.3699684907895064","0.4300464452612737","0.4300464452612737","0.4300464452612737","0.3988417730415177","0.3988417730415177","0.3988417730415177","0.02132444732660256","0.02132444732660256","0.02132444732660256","0.3213159347927551","0.3213159347927551","0.3213159347927551","0.3304173832890662","0.3304173832890662","0.3304173832890662","0.09418790667637927","0.09418790667637927","0.09418790667637927","0.3147555818310694","0.3147555818310694","0.3147555818310694","0.08049169566872996","0.08049169566872996","0.08049169566872996","0.10131286992773572","0.07532573471946655","0.1273000051360049"
"4","0.4201672401008978","0.4201672401008978","0.4201672401008978","0.46789650046049364","0.46789650046049364","0.46789650046049364","0.46730319017638744","0.46730319017638744","0.46730319017638744","0.4394957325886057","0.43536163605611455","0.44362982912109683","0.10845225708225452","0.10845225708225452","0.10845225708225452","0.11656723732791546","0.11656723732791546","0.11656723732791546","0.5122716116622293","0.5122716116622293","0.5122716116622293","0.47771095026617544","0.47771095026617544","0.47771095026617544","0.45168662540413596","0.45168662540413596","0.45168662540413596","0.4973167479967512","0.4973167479967512","0.4973167479967512","0.46687876611940554","0.46687876611940554","0.46687876611940554","0.07978701528131225","0.07978701528131225","0.07978701528131225","0.35320621467214347","0.35320621467214347","0.35320621467214347","0.3820367293584344","0.3820367293584344","0.3820367293584344","0.08869158796117192","0.08869158796117192","0.08869158796117192","0.3760693656774","0.3760693656774","0.3760693656774","0.0892343392242365","0.0892343392242365","0.0892343392242365","0.11407725885729204","0.0837869040128272","0.14436761370175688"
"6","0.4715676310301906","0.4715676310301906","0.4715676310301906","0.4958590078250362","0.4958590078250362","0.4958590078250362","0.5100078473007621","0.5100078473007621","0.5100078473007621","0.4772429050413888","0.4733747131622574","0.4811110969205202","0.11462681957055446","0.11462681957055446","0.11462681957055446","0.1428918557625957","0.1428918557625957","0.1428918557625957","0.5625157863474051","0.5625157863474051","0.5625157863474051","0.5310962045477724","0.5310962045477724","0.5310962045477724","0.5148126999931898","0.5148126999931898","0.5148126999931898","0.5468757766051748","0.5468757766051748","0.5468757766051748","0.5170100031223948","0.5170100031223948","0.5170100031223948","0.08329122467607372","0.08329122467607372","0.08329122467607372","0.3757170728010448","0.3757170728010448","0.3757170728010448","0.41797023893947644","0.41797023893947644","0.41797023893947644","0.08835258916386177","0.08835258916386177","0.08835258916386177","0.4204858543677821","0.4204858543677821","0.4204858543677821","0.09915743100375733","0.09915743100375733","0.09915743100375733","0.12768558290775553","0.09280752606995755","0.16256363974555352"
"8","0.5143805550726792","0.5143805550726792","0.5143805550726792","0.5195026419661636","0.5195026419661636","0.5195026419661636","0.5435921067801744","0.5435921067801744","0.5435921067801744","0.5067835909311738","0.5024779731291465","0.5110892087332009","0.12384612585879408","0.12384612585879408","0.12384612585879408","0.15929563705433047","0.15929563705433047","0.15929563705433047","0.60131864160466","0.60131864160466","0.60131864160466","0.5758690835218884","0.5758690835218884","0.5758690835218884","0.5679052255682785","0.5679052255682785","0.5679052255682785","0.58535739369883","0.58535739369883","0.58535739369883","0.5536472064073668","0.5536472064073668","0.5536472064073668","0.08047809543821212","0.08047809543821212","0.08047809543821212","0.393876038796571","0.393876038796571","0.393876038796571","0.4468247564005008","0.4468247564005008","0.4468247564005008","0.08403205627057354","0.08403205627057354","0.08403205627057354","0.4566615860776352","0.4566615860776352","0.4566615860776352","0.1182101399813301","0.1182101399813301","0.1182101399813301","0.13801303215038163","0.11098157707463228","0.16504448722613096"
"10","0.5535248117264442","0.5535248117264442","0.5535248117264442","0.5381244816330983","0.5381244816330983","0.5381244816330983","0.5691751714340874","0.5691751714340874","0.5691751714340874","0.5312712476193963","0.5272218207794256","0.5353206744593669","0.13900301875099458","0.13900301875099458","0.13900301875099458","0.16890318405120217","0.16890318405120217","0.16890318405120217","0.6328455534788916","0.6328455534788916","0.6328455534788916","0.6160162034133057","0.6160162034133057","0.6160162034133057","0.615989780530585","0.615989780530585","0.615989780530585","0.6173612384109739","0.6173612384109739","0.6173612384109739","0.5835626688443895","0.5835626688443895","0.5835626688443895","","","","0.410478684515279","0.410478684515279","0.410478684515279","0.4708582863353655","0.4708582863353655","0.4708582863353655","0.08238441377225739","0.08238441377225739","0.08238441377225739","0.4867634153615555","0.4867634153615555","0.4867634153615555","0.13005459601990407","0.13005459601990407","0.13005459601990407","0.15000179053110912","0.1259565305965526","0.17404705046566568"
"12","0.5888209664831836","0.5888209664831836","0.5888209664831836","0.5512213716845041","0.5512213716845041","0.5512213716845041","","","","0.5527555284821892","0.5483220396327261","0.5571890173316524","0.15531799939117766","0.15531799939117766","0.15531799939117766","0.17731734792893214","0.17731734792893214","0.17731734792893214","0.6617924092536639","0.6617924092536639","0.6617924092536639","0.650188472955939","0.650188472955939","0.650188472955939","0.6645710354957894","0.6645710354957894","0.6645710354957894","0.6449850693270741","0.6449850693270741","0.6449850693270741","0.6080657559796142","0.6080657559796142","0.6080657559796142","","","","0.42504913300460967","0.42504913300460967","0.42504913300460967","0.49071299293994525","0.49071299293994525","0.49071299293994525","0.08147357783052687","0.08147357783052687","0.08147357783052687","0.5126743239644483","0.5126743239644483","0.5126743239644483","0.14241138515113455","0.14241138515113455","0.14241138515113455","0.1642482542339742","0.14135519313511619","0.1871413153328322"
"14","0.6245225157571005","0.6245225157571005","0.6245225157571005","0.5627455977173885","0.5627455977173885","0.5627455977173885","","","","0.5706038784776151","0.5664264521107522","0.574781304844478","0.16616600847306537","0.16616600847306537","0.16616600847306537","0.18382868355939402","0.18382868355939402","0.18382868355939402","0.6858947729039517","0.6858947729039517","0.6858947729039517","0.6788347991634102","0.6788347991634102","0.6788347991634102","0.707142571616498","0.707142571616498","0.707142571616498","0.670908895891557","0.670908895891557","0.670908895891557","0.6292157005408267","0.6292157005408267","0.6292157005408267","","","","0.43730650478068267","0.43730650478068267","0.43730650478068267","0.5087641810547705","0.5087641810547705","0.5087641810547705","0.08102449543761914","0.08102449543761914","0.08102449543761914","0.5336968037365812","0.5336968037365812","0.5336968037365812","0.14881831582039798","0.14881831582039798","0.14881831582039798","0.1795868305134135","0.15542417908891978","0.20374948193790723"
"16","0.6545209751651911","0.6545209751651911","0.6545209751651911","0.5729520232978759","0.5729520232978759","0.5729520232978759","","","","0.5870451597702596","0.5830137094333093","0.5910766101072099","","","","0.1889427220981625","0.1889427220981625","0.1889427220981625","0.7082816835702058","0.7082816835702058","0.7082816835702058","0.7017017794412287","0.7017017794412287","0.7017017794412287","0.7405427805841187","0.7405427805841187","0.7405427805841187","0.693009843954668","0.693009843954668","0.693009843954668","0.6499362164395829","0.6499362164395829","0.6499362164395829","","","","0.4480636574121029","0.4480636574121029","0.4480636574121029","0.5239729202372018","0.5239729202372018","0.5239729202372018","0.08094282915282686","0.08094282915282686","0.08094282915282686","0.5530368505606715","0.5530368505606715","0.5530368505606715","0.15553974498506615","0.15553974498506615","0.15553974498506615","0.19320408692651192","0.16845729533173875","0.2179508785212851"
"18","0.679899684382532","0.679899684382532","0.679899684382532","0.5829169965903297","0.5829169965903297","0.5829169965903297","","","","0.5979007927099252","0.5979007927099252","0.5979007927099252","","","","0.1931693419807365","0.1931693419807365","0.1931693419807365","0.7283111411010074","0.7283111411010074","0.7283111411010074","0.7215706061038626","0.7215706061038626","0.7215706061038626","0.769374536342161","0.769374536342161","0.769374536342161","0.7125906566578393","0.7125906566578393","0.7125906566578393","0.666587923607255","0.666587923607255","0.666587923607255","","","","0.45736458858239193","0.45736458858239193","0.45736458858239193","0.538235485861882","0.538235485861882","0.538235485861882","0.08101139245850221","0.08101139245850221","0.08101139245850221","0.5695948721978787","0.5695948721978787","0.5695948721978787","0.1650108029299682","0.1650108029299682","0.1650108029299682","0.2048877009739143","0.17897373811725456","0.23080166383057404"
