"Step","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/loss","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/loss","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/loss","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/loss__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/loss","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/loss__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/loss__MAX","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MIN","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/loss__MAX","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MIN","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MAX","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/loss","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/loss__MIN","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss__MAX"
"0","2.320021133510479","2.320021133510479","2.320021133510479","2.54167743289635","2.54167743289635","2.54167743289635","1.9928910227501009","1.9928910227501009","1.9928910227501009","2.0245784450818713","2.022252917928681","2.0269039722350617","2.902790516112884","2.902790516112884","2.902790516112884","2.9009973550098413","2.9009973550098413","2.9009973550098413","1.9533646798608497","1.9533646798608497","1.9533646798608497","2.1427025317598085","2.1427025317598085","2.1427025317598085","2.3192169296613696","2.3192169296613696","2.3192169296613696","1.959134007303492","1.959134007303492","1.959134007303492","2.0810277015655365","2.0810277015655365","2.0810277015655365","3.3712909723679103","3.3712909723679103","3.3712909723679103","2.1662401549666437","2.1662401549666437","2.1662401549666437","2.2396203552416964","2.2396203552416964","2.2396203552416964","4.185314802444364","4.185314802444364","4.185314802444364","2.3416324373773922","2.3416324373773922","2.3416324373773922","3.3082683489844773","3.3082683489844773","3.3082683489844773","4.709810989777926","3.3111763562761807","6.108445623279673"
"2","1.6324157544153572","1.6324157544153572","1.6324157544153572","1.3971471313678105","1.3971471313678105","1.3971471313678105","1.474469564683952","1.474469564683952","1.474469564683952","1.530064280511409","1.5208935275742326","1.5392350334485858","2.662686354533454","2.662686354533454","2.662686354533454","2.6717922130733682","2.6717922130733682","2.6717922130733682","1.3858247506581989","1.3858247506581989","1.3858247506581989","1.4260408205606305","1.4260408205606305","1.4260408205606305","1.5833186899721166","1.5833186899721166","1.5833186899721166","1.4148905931716673","1.4148905931716673","1.4148905931716673","1.508415809360434","1.508415809360434","1.508415809360434","2.872546893349103","2.872546893349103","2.872546893349103","1.6412385656950486","1.6412385656950486","1.6412385656950486","1.7377555664246518","1.7377555664246518","1.7377555664246518","3.3954334730028557","3.3954334730028557","3.3954334730028557","1.801158541468347","1.801158541468347","1.801158541468347","2.8398066817527527","2.8398066817527527","2.8398066817527527","3.79350238340876","2.8435743696656743","4.743430397151846"
"4","1.3412768817970253","1.3412768817970253","1.3412768817970253","1.1671363679409756","1.1671363679409756","1.1671363679409756","1.2623798157135524","1.2623798157135524","1.2623798157135524","1.3327993047045712","1.3219458123078573","1.343652797101285","2.589768983321022","2.589768983321022","2.589768983321022","2.6059133862280737","2.6059133862280737","2.6059133862280737","1.1455082382670223","1.1455082382670223","1.1455082382670223","1.1346026598768248","1.1346026598768248","1.1346026598768248","1.2579798347917122","1.2579798347917122","1.2579798347917122","1.182776809514573","1.182776809514573","1.182776809514573","1.2593405294199267","1.2593405294199267","1.2593405294199267","2.8020207394502066","2.8020207394502066","2.8020207394502066","1.4540742319904463","1.4540742319904463","1.4540742319904463","1.538052914153562","1.538052914153562","1.538052914153562","3.2238732028701222","3.2238732028701222","3.2238732028701222","1.5552764774099062","1.5552764774099062","1.5552764774099062","2.731265642558999","2.731265642558999","2.731265642558999","3.6073966438584604","2.7383700178374193","4.4764232698795015"
"6","1.1398295728663757","1.1398295728663757","1.1398295728663757","1.0380317394894079","1.0380317394894079","1.0380317394894079","1.122396369075337","1.122396369075337","1.122396369075337","1.2025910255372252","1.1908928800322927","1.2142891710421575","2.535290513432957","2.535290513432957","2.535290513432957","2.5540443866942963","2.5540443866942963","2.5540443866942963","0.9894520196304935","0.9894520196304935","0.9894520196304935","0.9427500934914826","0.9427500934914826","0.9427500934914826","1.0301542583322452","1.0301542583322452","1.0301542583322452","1.0277628763528914","1.0277628763528914","1.0277628763528914","1.0932580935462146","1.0932580935462146","1.0932580935462146","2.7634095747657064","2.7634095747657064","2.7634095747657064","1.3290791916810718","1.3290791916810718","1.3290791916810718","1.4069536479837497","1.4069536479837497","1.4069536479837497","3.1302031550619174","3.1302031550619174","3.1302031550619174","1.3890702186828368","1.3890702186828368","1.3890702186828368","2.6651039419276428","2.6651039419276428","2.6651039419276428","3.5028925679463434","2.6719808618653604","4.333804274027327"
"8","0.9833649799889481","0.9833649799889481","0.9833649799889481","0.9551323359264532","0.9551323359264532","0.9551323359264532","1.019416683528909","1.019416683528909","1.019416683528909","1.105655464288104","1.094508196365596","1.116802732210612","2.4905975962123317","2.4905975962123317","2.4905975962123317","2.512012304974917","2.512012304974917","2.512012304974917","0.876300932209123","0.876300932209123","0.876300932209123","0.8039069472830657","0.8039069472830657","0.8039069472830657","0.854984636602504","0.854984636602504","0.854984636602504","0.9152618258233093","0.9152618258233093","0.9152618258233093","0.976527708504138","0.976527708504138","0.976527708504138","2.7369469906250514","2.7369469906250514","2.7369469906250514","1.2384890542004776","1.2384890542004776","1.2384890542004776","1.3076924903925857","1.3076924903925857","1.3076924903925857","3.0671944368122914","3.0671944368122914","3.0671944368122914","1.2634553701643922","1.2634553701643922","1.2634553701643922","2.6088781712796387","2.6088781712796387","2.6088781712796387","3.4237390727745383","2.6175755890368686","4.229902556512208"
"10","0.8585089403582569","0.8585089403582569","0.8585089403582569","0.8983866282571877","0.8983866282571877","0.8983866282571877","0.9425027721873834","0.9425027721873834","0.9425027721873834","1.0305942136332233","1.0201962329162024","1.040992194350244","2.450605465296034","2.450605465296034","2.450605465296034","2.4761202178359216","2.4761202178359216","2.4761202178359216","0.7898681841071861","0.7898681841071861","0.7898681841071861","0.7004239862673498","0.7004239862673498","0.7004239862673498","0.7162681431445375","0.7162681431445375","0.7162681431445375","0.8281274436991576","0.8281274436991576","0.8281274436991576","0.8801124776395503","0.8801124776395503","0.8801124776395503","","","","1.1699219781443317","1.1699219781443317","1.1699219781443317","1.2302457386282648","1.2302457386282648","1.2302457386282648","3.019072287115532","3.019072287115532","3.019072287115532","1.162018662663733","1.162018662663733","1.162018662663733","2.568392684777334","2.568392684777334","2.568392684777334","3.358591732860531","2.56890162245968","4.1482818432613815"
"12","0.7580379614603647","0.7580379614603647","0.7580379614603647","0.8568299853144524","0.8568299853144524","0.8568299853144524","","","","0.9686025786819721","0.959066950617669","0.9781382067462752","2.414716732447217","2.414716732447217","2.414716732447217","2.444735458579947","2.444735458579947","2.444735458579947","0.7195488408458909","0.7195488408458909","0.7195488408458909","0.6201505326019859","0.6201505326019859","0.6201505326019859","0.6051341776278264","0.6051341776278264","0.6051341776278264","0.7561300742407122","0.7561300742407122","0.7561300742407122","0.8071811560193394","0.8071811560193394","0.8071811560193394","","","","1.1166697432034596","1.1166697432034596","1.1166697432034596","1.1674495480418388","1.1674495480418388","1.1674495480418388","2.9817028388860214","2.9817028388860214","2.9817028388860214","1.0866922826076906","1.0866922826076906","1.0866922826076906","2.531175604092947","2.531175604092947","2.531175604092947","3.3015703032238695","2.5247377390883416","4.078402867359397"
"14","0.6759333286953556","0.6759333286953556","0.6759333286953556","0.82440261248425","0.82440261248425","0.82440261248425","","","","0.9162061943303206","0.9066646180784538","0.9257477705821874","2.38264741019487","2.38264741019487","2.38264741019487","2.4170199464692823","2.4170199464692823","2.4170199464692823","0.6588427082365906","0.6588427082365906","0.6588427082365906","0.5582052110530333","0.5582052110530333","0.5582052110530333","0.5185525553560549","0.5185525553560549","0.5185525553560549","0.6950090470485629","0.6950090470485629","0.6950090470485629","0.7436960578010422","0.7436960578010422","0.7436960578010422","","","","1.0766354666917284","1.0766354666917284","1.0766354666917284","1.1150749695428845","1.1150749695428845","1.1150749695428845","2.950809402086103","2.950809402086103","2.950809402086103","1.02198482029836","1.02198482029836","1.02198482029836","2.500210294132028","2.500210294132028","2.500210294132028","3.2436749345840514","2.486183832469432","4.00116603669867"
"16","0.6099367161576634","0.6099367161576634","0.6099367161576634","0.7976528056547799","0.7976528056547799","0.7976528056547799","","","","0.8700779437744964","0.8608407792143216","0.8793151083346713","","","","2.3921334962567364","2.3921334962567364","2.3921334962567364","0.6058870469994421","0.6058870469994421","0.6058870469994421","0.5084494139890758","0.5084494139890758","0.5084494139890758","0.4508917637477425","0.4508917637477425","0.4508917637477425","0.6398644541343175","0.6398644541343175","0.6398644541343175","0.6852631144237007","0.6852631144237007","0.6852631144237007","","","","1.0425243882453825","1.0425243882453825","1.0425243882453825","1.070655582144651","1.070655582144651","1.070655582144651","2.9254735036429365","2.9254735036429365","2.9254735036429365","0.9599362508626298","0.9599362508626298","0.9599362508626298","2.471842152053693","2.471842152053693","2.471842152053693","3.186179807587783","2.451399035877327","3.9209605792982387"
"18","0.5557457923569686","0.5557457923569686","0.5557457923569686","0.7745591614275578","0.7745591614275578","0.7745591614275578","","","","0.8370321002798825","0.8370321002798825","0.8370321002798825","","","","2.3697149085414355","2.3697149085414355","2.3697149085414355","0.5578311038692731","0.5578311038692731","0.5578311038692731","0.46802385621468834","0.46802385621468834","0.46802385621468834","0.3958292563672635","0.3958292563672635","0.3958292563672635","0.5918739987323332","0.5918739987323332","0.5918739987323332","0.6395835347279655","0.6395835347279655","0.6395835347279655","","","","1.0151989356390732","1.0151989356390732","1.0151989356390732","1.0312781066934693","1.0312781066934693","1.0312781066934693","2.9030150887064328","2.9030150887064328","2.9030150887064328","0.9123394231427501","0.9123394231427501","0.9123394231427501","2.444750927491356","2.444750927491356","2.444750927491356","3.132013882983933","2.416713163462021","3.8473146025058442"
