"Step","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER__MIN","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/PER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/PER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/PER","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/PER__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MAX","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/PER","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/PER__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/PER__MAX","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MIN","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/PER__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/PER","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/PER__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/PER__MAX","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MIN","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MAX","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/PER","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/PER__MIN","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/PER__MAX","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MIN","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/PER__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/PER","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/PER__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/PER__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/PER","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/PER__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/PER__MAX"
"0","0.0977443386816046","0.0977443386816046","0.0977443386816046","0.11029915030671159","0.11029915030671159","0.11029915030671159","0.08531861798869858","0.08531861798869858","0.08531861798869858","0.08694417007408975","0.08659944973621118","0.0872888904119683","0.1329537167893398","0.1329537167893398","0.1329537167893398","0.13142580321410863","0.13142580321410863","0.13142580321410863","0.08359353235860162","0.08359353235860162","0.08359353235860162","0.09049711739308824","0.09049711739308824","0.09049711739308824","0.09727316159050839","0.09727316159050839","0.09727316159050839","0.08357470616175934","0.08357470616175934","0.08357470616175934","0.08836092407256231","0.08836092407256231","0.08836092407256231","0.14736912382521708","0.14736912382521708","0.14736912382521708","0.09275991677520741","0.09275991677520741","0.09275991677520741","0.09493553612242447","0.09493553612242447","0.09493553612242447","0.14529340470080102","0.14529340470080102","0.14529340470080102","0.09922359447399266","0.09922359447399266","0.09922359447399266","0.13238713109794906","0.13238713109794906","0.13238713109794906","0.19444344928929147","0.1334106248110655","0.25547627376751747"
"2","0.07483309925217109","0.07483309925217109","0.07483309925217109","0.08112128061623998","0.08112128061623998","0.08112128061623998","0.06965101961708957","0.06965101961708957","0.06965101961708957","0.07194828142553757","0.07167815472616205","0.07221840812491308","0.12378125335472258","0.12378125335472258","0.12378125335472258","0.12156517726311862","0.12156517726311862","0.12156517726311862","0.06616574250292795","0.06616574250292795","0.06616574250292795","0.069704535377041","0.069704535377041","0.069704535377041","0.07263388737855603","0.07263388737855603","0.07263388737855603","0.06724277128902806","0.06724277128902806","0.06724277128902806","0.0703277951855756","0.0703277951855756","0.0703277951855756","0.13856036358188156","0.13856036358188156","0.13856036358188156","0.07997447577450782","0.07997447577450782","0.07997447577450782","0.07767957478583458","0.07767957478583458","0.07767957478583458","0.1339023255874799","0.1339023255874799","0.1339023255874799","0.07923683689702374","0.07923683689702374","0.07923683689702374","0.12262741587415235","0.12262741587415235","0.12262741587415235","0.16277665671176056","0.12408192249391073","0.20147139092961042"
"4","0.06738276477369025","0.06738276477369025","0.06738276477369025","0.07602600298589651","0.07602600298589651","0.07602600298589651","0.06315657832146017","0.06315657832146017","0.06315657832146017","0.06626926492442517","0.06595943590686904","0.06657909394198129","0.11769309973239225","0.11769309973239225","0.11769309973239225","0.11474492308432079","0.11474492308432079","0.11474492308432079","0.05802917691369854","0.05802917691369854","0.05802917691369854","0.06216125373466602","0.06216125373466602","0.06216125373466602","0.06394512821005792","0.06394512821005792","0.06394512821005792","0.059602994737454264","0.059602994737454264","0.059602994737454264","0.06305796567365761","0.06305796567365761","0.06305796567365761","0.13183452446250768","0.13183452446250768","0.13183452446250768","0.07751136263246658","0.07751136263246658","0.07751136263246658","0.07194517549393371","0.07194517549393371","0.07194517549393371","0.1310378402337534","0.1310378402337534","0.1310378402337534","0.07234588929578849","0.07234588929578849","0.07234588929578849","0.11574531062695702","0.11574531062695702","0.11574531062695702","0.15513363102780217","0.11713588162960573","0.19313138042599862"
"6","0.06193361779798409","0.06193361779798409","0.06193361779798409","0.072978434557209","0.072978434557209","0.072978434557209","0.0584515999595002","0.0584515999595002","0.0584515999595002","0.06214892698562206","0.06186591601970081","0.06243193795154331","0.11345788191220876","0.11345788191220876","0.11345788191220876","0.10716406079507741","0.10716406079507741","0.10716406079507741","0.05226655993760555","0.05226655993760555","0.05226655993760555","0.05669741965455632","0.05669741965455632","0.05669741965455632","0.05706031268554628","0.05706031268554628","0.05706031268554628","0.053833836710221836","0.053833836710221836","0.053833836710221836","0.05771577170033398","0.05771577170033398","0.05771577170033398","0.12921289122085833","0.12921289122085833","0.12921289122085833","0.07607161643502167","0.07607161643502167","0.07607161643502167","0.0680309416145753","0.0680309416145753","0.0680309416145753","0.13074771679343392","0.13074771679343392","0.13074771679343392","0.06764710045212581","0.06764710045212581","0.06764710045212581","0.11108973077242641","0.11108973077242641","0.11108973077242641","0.14943938024475373","0.11252902088584442","0.18634973960366305"
"8","0.05748317798507439","0.05748317798507439","0.05748317798507439","0.07038969241368924","0.07038969241368924","0.07038969241368924","0.05456619751815819","0.05456619751815819","0.05456619751815819","0.05882507155048643","0.05846076789056399","0.05918937521040886","0.10931593324387581","0.10931593324387581","0.10931593324387581","0.10258991229545103","0.10258991229545103","0.10258991229545103","0.04752276072951327","0.04752276072951327","0.04752276072951327","0.05196032451681992","0.05196032451681992","0.05196032451681992","0.051319621586067475","0.051319621586067475","0.051319621586067475","0.04924936229833826","0.04924936229833826","0.04924936229833826","0.053524202077505106","0.053524202077505106","0.053524202077505106","0.12773981797502124","0.12773981797502124","0.12773981797502124","0.07508022473183903","0.07508022473183903","0.07508022473183903","0.0649200481763899","0.0649200481763899","0.0649200481763899","0.13031755919533963","0.13031755919533963","0.13031755919533963","0.06396267687885011","0.06396267687885011","0.06396267687885011","0.10517409761015918","0.10517409761015918","0.10517409761015918","0.1457343643647619","0.10709693949156528","0.18437178923795852"
"10","0.05338076110019014","0.05338076110019014","0.05338076110019014","0.06808848812612897","0.06808848812612897","0.06808848812612897","0.05170001031930575","0.05170001031930575","0.05170001031930575","0.05591089956711552","0.05558419945651531","0.05623759967771573","0.10488585951814479","0.10488585951814479","0.10488585951814479","0.09990352359253259","0.09990352359253259","0.09990352359253259","0.04364829921221349","0.04364829921221349","0.04364829921221349","0.047753094100554866","0.047753094100554866","0.047753094100554866","0.04609189597795608","0.04609189597795608","0.04609189597795608","0.045351820074881","0.045351820074881","0.045351820074881","0.05012144364607302","0.05012144364607302","0.05012144364607302","","","","0.07430215840010411","0.07430215840010411","0.07430215840010411","0.06235055691066036","0.06235055691066036","0.06235055691066036","0.12983685689444185","0.12983685689444185","0.12983685689444185","0.060743532779767316","0.060743532779767316","0.060743532779767316","0.10233845881758283","0.10233845881758283","0.10233845881758283","0.1423099355892158","0.1033048408947997","0.1813150302836319"
"12","0.04993130901169705","0.04993130901169705","0.04993130901169705","0.066387159233647","0.066387159233647","0.066387159233647","","","","0.05351309000421711","0.05310544510843927","0.05392073489999495","0.10045602161517654","0.10045602161517654","0.10045602161517654","0.09786295567895995","0.09786295567895995","0.09786295567895995","0.040122587269450616","0.040122587269450616","0.040122587269450616","0.044132086244710475","0.044132086244710475","0.044132086244710475","0.04083787504127883","0.04083787504127883","0.04083787504127883","0.04189843808028836","0.04189843808028836","0.04189843808028836","0.047289265034234855","0.047289265034234855","0.047289265034234855","","","","0.07329277791206706","0.07329277791206706","0.07329277791206706","0.06008600253361249","0.06008600253361249","0.06008600253361249","0.1294539666588383","0.1294539666588383","0.1294539666588383","0.05783804956600344","0.05783804956600344","0.05783804956600344","0.1001611659589167","0.1001611659589167","0.1001611659589167","0.13784528113672445","0.10014535460241189","0.17554520767103698"
"14","0.04619052870469301","0.04619052870469301","0.04619052870469301","0.06501627215754806","0.06501627215754806","0.06501627215754806","","","","0.05131127362011461","0.050945076579690794","0.051677470660538426","0.0976846756816054","0.0976846756816054","0.0976846756816054","0.09622364068443173","0.09622364068443173","0.09622364068443173","0.037027164099635815","0.037027164099635815","0.037027164099635815","0.040899928408355615","0.040899928408355615","0.040899928408355615","0.0361464748015693","0.0361464748015693","0.0361464748015693","0.03870847642573936","0.03870847642573936","0.03870847642573936","0.04490441667618416","0.04490441667618416","0.04490441667618416","","","","0.07241425509337045","0.07241425509337045","0.07241425509337045","0.05791436217773032","0.05791436217773032","0.05791436217773032","0.12894838551127294","0.12894838551127294","0.12894838551127294","0.05546131237200258","0.05546131237200258","0.05546131237200258","0.09884398909567357","0.09884398909567357","0.09884398909567357","0.13436556505127678","0.09768395302973111","0.17104717707282244"
"16","0.04301880671427417","0.04301880671427417","0.04301880671427417","0.06361401360268437","0.06361401360268437","0.06361401360268437","","","","0.04941543041410265","0.0489864569822283","0.049844403845977006","","","","0.09499476557548531","0.09499476557548531","0.09499476557548531","0.03430460868131261","0.03430460868131261","0.03430460868131261","0.038354687564127105","0.038354687564127105","0.038354687564127105","0.032432454597051755","0.032432454597051755","0.032432454597051755","0.03591502875538316","0.03591502875538316","0.03591502875538316","0.0426645202957039","0.0426645202957039","0.0426645202957039","","","","0.07162939579691374","0.07162939579691374","0.07162939579691374","0.05613196170200891","0.05613196170200891","0.05613196170200891","0.12851288300559457","0.12851288300559457","0.12851288300559457","0.0533536427399483","0.0533536427399483","0.0533536427399483","0.09753375064988784","0.09753375064988784","0.09753375064988784","0.13141062288070382","0.09560862065707232","0.16721262510433532"
"18","0.04030103267819535","0.04030103267819535","0.04030103267819535","0.062093166806737925","0.062093166806737925","0.062093166806737925","","","","0.04791710196627885","0.04791710196627885","0.04791710196627885","","","","0.09396369631009485","0.09396369631009485","0.09396369631009485","0.03186296445424557","0.03186296445424557","0.03186296445424557","0.035891900556030386","0.035891900556030386","0.035891900556030386","0.028945398554661907","0.028945398554661907","0.028945398554661907","0.03357831558159336","0.03357831558159336","0.03357831558159336","0.040697036080875895","0.040697036080875895","0.040697036080875895","","","","0.07088517619455424","0.07088517619455424","0.07088517619455424","0.054488042591046185","0.054488042591046185","0.054488042591046185","0.12798055780374973","0.12798055780374973","0.12798055780374973","0.05156442368847961","0.05156442368847961","0.05156442368847961","0.09591293327903924","0.09591293327903924","0.09591293327903924","0.12836099603586487","0.09397690451511263","0.16274508755661712"
