"Step","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER__MIN","LSTM-latent_dim=256,CrossEntropyLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/WER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.01,dropout=0.1 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/WER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.4 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/WER","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/WER__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MAX","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/WER","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/WER__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0 - train/WER__MAX","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MIN","GRU-latent_dim=256,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/WER__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/WER","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/WER__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adam,lr=0.01,dropout=0 - train/WER__MAX","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MIN","GRU-latent_dim=128,CrossEntropyLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MAX","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/WER","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/WER__MIN","GRU-latent_dim=128,NLLLoss,opt=SGD,lr=0.01,dropout=0 - train/WER__MAX","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MIN","LSTM-latent_dim=128,NLLLoss,opt=RMSprop,lr=0.001,dropout=0 - train/WER__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/WER","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/WER__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/WER__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/WER","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/WER__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/WER__MAX"
"0","0.21610719473335424","0.21610719473335424","0.21610719473335424","0.3203717218924628","0.3203717218924628","0.3203717218924628","0.21147250576702556","0.21147250576702556","0.21147250576702556","0.21545378056569742","0.2148705889187459","0.21603697221264898","0.2954123874972751","0.2954123874972751","0.2954123874972751","0.2551973908393097","0.2551973908393097","0.2551973908393097","0.2017476813989958","0.2017476813989958","0.2017476813989958","0.21426172396333676","0.21426172396333676","0.21426172396333676","0.22094474573212536","0.22094474573212536","0.22094474573212536","0.205903205644168","0.205903205644168","0.205903205644168","0.20072558227143283","0.20072558227143283","0.20072558227143283","0.6103460177830953","0.6103460177830953","0.6103460177830953","0.20845895258529884","0.20845895258529884","0.20845895258529884","0.21497078640441603","0.21497078640441603","0.21497078640441603","0.3878264693918256","0.3878264693918256","0.3878264693918256","0.21187281112492587","0.21187281112492587","0.21187281112492587","0.3234564593067593","0.3234564593067593","0.3234564593067593","0.2982862854686529","0.29331690502528446","0.30325566591202124"
"2","0.17118688833145648","0.17118688833145648","0.17118688833145648","0.21468939106068843","0.21468939106068843","0.21468939106068843","0.16774863210433996","0.16774863210433996","0.16774863210433996","0.17663643739700052","0.17655858362484592","0.17671429116915516","0.26843273545444557","0.26843273545444557","0.26843273545444557","0.19574449364792956","0.19574449364792956","0.19574449364792956","0.15852678449782534","0.15852678449782534","0.15852678449782534","0.1640097146625658","0.1640097146625658","0.1640097146625658","0.16612121726983156","0.16612121726983156","0.16612121726983156","0.16341133765287974","0.16341133765287974","0.16341133765287974","0.16319116439499604","0.16319116439499604","0.16319116439499604","0.20156389447993833","0.20156389447993833","0.20156389447993833","0.17860751330209876","0.17860751330209876","0.17860751330209876","0.1791755153509479","0.1791755153509479","0.1791755153509479","0.21818364699235818","0.21818364699235818","0.21818364699235818","0.17868927366611123","0.17868927366611123","0.17868927366611123","0.2871302522544633","0.2871302522544633","0.2871302522544633","0.2800183978349079","0.27953247636167305","0.2805043193081428"
"4","0.15422842532780034","0.15422842532780034","0.15422842532780034","0.18876055445952522","0.18876055445952522","0.18876055445952522","0.14915854291238498","0.14915854291238498","0.14915854291238498","0.1608559750019103","0.15940447020328236","0.1623074798005382","0.2548045168429759","0.2548045168429759","0.2548045168429759","0.19320346181333845","0.19320346181333845","0.19320346181333845","0.1367576642224375","0.1367576642224375","0.1367576642224375","0.1448467591547097","0.1448467591547097","0.1448467591547097","0.14580908811031223","0.14580908811031223","0.14580908811031223","0.14160508111850192","0.14160508111850192","0.14160508111850192","0.1455165633924759","0.1455165633924759","0.1455165633924759","0.19536167450207279","0.19536167450207279","0.19536167450207279","0.1698980695472871","0.1698980695472871","0.1698980695472871","0.16360108208135898","0.16360108208135898","0.16360108208135898","0.264894004190511","0.264894004190511","0.264894004190511","0.16403049280684057","0.16403049280684057","0.16403049280684057","0.2708878828211154","0.2708878828211154","0.2708878828211154","0.2681057828656285","0.2592842162746972","0.27692734945655967"
"6","0.14012842542229578","0.14012842542229578","0.14012842542229578","0.1733254649106724","0.1733254649106724","0.1733254649106724","0.13857744433231006","0.13857744433231006","0.13857744433231006","0.14830791740961694","0.14723025258566566","0.1493855822335682","0.2506425586776278","0.2506425586776278","0.2506425586776278","0.1894658616588462","0.1894658616588462","0.1894658616588462","0.12159570895486595","0.12159570895486595","0.12159570895486595","0.13086737577695204","0.13086737577695204","0.13086737577695204","0.12911871030292377","0.12911871030292377","0.12911871030292377","0.12542361826328532","0.12542361826328532","0.12542361826328532","0.13254078782644263","0.13254078782644263","0.13254078782644263","0.1938299960094818","0.1938299960094818","0.1938299960094818","0.16279287778190313","0.16279287778190313","0.16279287778190313","0.15301790320629297","0.15301790320629297","0.15301790320629297","0.2735469786940424","0.2735469786940424","0.2735469786940424","0.1523315274911843","0.1523315274911843","0.1523315274911843","0.2589712036720393","0.2589712036720393","0.2589712036720393","0.25926657720785895","0.24620040874831406","0.2723327456674039"
"8","0.12742376912880515","0.12742376912880515","0.12742376912880515","0.16142286144961035","0.16142286144961035","0.16142286144961035","0.12872841615425318","0.12872841615425318","0.12872841615425318","0.14055488284717121","0.1394891613191687","0.1416206043751737","0.2492855893111852","0.2492855893111852","0.2492855893111852","0.1881117996928311","0.1881117996928311","0.1881117996928311","0.1091798659550495","0.1091798659550495","0.1091798659550495","0.11789521168349738","0.11789521168349738","0.11789521168349738","0.1135707730960787","0.1135707730960787","0.1135707730960787","0.11379598985659593","0.11379598985659593","0.11379598985659593","0.12202330942842919","0.12202330942842919","0.12202330942842919","0.19444274763828912","0.19444274763828912","0.19444274763828912","0.15622827375031484","0.15622827375031484","0.15622827375031484","0.14509963896665098","0.14509963896665098","0.14509963896665098","0.28803253234768816","0.28803253234768816","0.28803253234768816","0.14113275567587535","0.14113275567587535","0.14113275567587535","0.2482432811662095","0.2482432811662095","0.2482432811662095","0.2544749284195199","0.23676320459241118","0.2721866522466286"
"10","0.11688676591882527","0.11688676591882527","0.11688676591882527","0.15551024054046744","0.15551024054046744","0.15551024054046744","0.12074598473165071","0.12074598473165071","0.12074598473165071","0.13323106734061335","0.13165113264678985","0.13481100203443686","0.24575769191947264","0.24575769191947264","0.24575769191947264","0.18735155208442472","0.18735155208442472","0.18735155208442472","0.09776168867000591","0.09776168867000591","0.09776168867000591","0.10648895439742183","0.10648895439742183","0.10648895439742183","0.09802894265401176","0.09802894265401176","0.09802894265401176","0.10406710586767579","0.10406710586767579","0.10406710586767579","0.11311047537402329","0.11311047537402329","0.11311047537402329","","","","0.152020678454091","0.152020678454091","0.152020678454091","0.1383609108999578","0.1383609108999578","0.1383609108999578","0.2974231944374789","0.2974231944374789","0.2974231944374789","0.13403661044428045","0.13403661044428045","0.13403661044428045","0.2396992241942412","0.2396992241942412","0.2396992241942412","0.24583688782671348","0.22308424521551423","0.2685895304379127"
"12","0.1069622299330285","0.1069622299330285","0.1069622299330285","0.14604566968498653","0.14604566968498653","0.14604566968498653","","","","0.12661929287892348","0.12627505241845016","0.12696353333939683","0.24167630850508964","0.24167630850508964","0.24167630850508964","0.18706524308763423","0.18706524308763423","0.18706524308763423","0.08893728798962558","0.08893728798962558","0.08893728798962558","0.09692754773158106","0.09692754773158106","0.09692754773158106","0.08486051534984942","0.08486051534984942","0.08486051534984942","0.09445515771941902","0.09445515771941902","0.09445515771941902","0.10613551927472484","0.10613551927472484","0.10613551927472484","","","","0.14707997526107888","0.14707997526107888","0.14707997526107888","0.13246219075292334","0.13246219075292334","0.13246219075292334","0.30199436147960607","0.30199436147960607","0.30199436147960607","0.1263302390794118","0.1263302390794118","0.1263302390794118","0.23114843820322323","0.23114843820322323","0.23114843820322323","0.23872875408630345","0.21355949701847715","0.26389801115412975"
"14","0.09757020528388423","0.09757020528388423","0.09757020528388423","0.14239289468316213","0.14239289468316213","0.14239289468316213","","","","0.12111935033238252","0.12062621614587367","0.12161248451889138","0.2377025236741496","0.2377025236741496","0.2377025236741496","0.18607867760180075","0.18607867760180075","0.18607867760180075","0.08088039510377816","0.08088039510377816","0.08088039510377816","0.08944213644444665","0.08944213644444665","0.08944213644444665","0.07426725424301445","0.07426725424301445","0.07426725424301445","0.0874205936699498","0.0874205936699498","0.0874205936699498","0.09978457919187389","0.09978457919187389","0.09978457919187389","","","","0.14630711841122546","0.14630711841122546","0.14630711841122546","0.12597439658661425","0.12597439658661425","0.12597439658661425","0.30618920776323166","0.30618920776323166","0.30618920776323166","0.12016051043656435","0.12016051043656435","0.12016051043656435","0.22272280600874347","0.22272280600874347","0.22272280600874347","0.23229677107709248","0.20749353908142193","0.25710000307276304"
"16","0.09158180696241888","0.09158180696241888","0.09158180696241888","0.1386526801739865","0.1386526801739865","0.1386526801739865","","","","0.1156367820053095","0.11495899717466586","0.11631456683595312","","","","0.18667961428534632","0.18667961428534632","0.18667961428534632","0.07524475141116656","0.07524475141116656","0.07524475141116656","0.08241202648679356","0.08241202648679356","0.08241202648679356","0.06455153022776067","0.06455153022776067","0.06455153022776067","0.08097808579644684","0.08097808579644684","0.08097808579644684","0.09512571113989361","0.09512571113989361","0.09512571113989361","","","","0.14315773896343995","0.14315773896343995","0.14315773896343995","0.1214775357138643","0.1214775357138643","0.1214775357138643","0.30720753003536627","0.30720753003536627","0.30720753003536627","0.11528235133068675","0.11528235133068675","0.11528235133068675","0.22257349482675945","0.22257349482675945","0.22257349482675945","0.22843334324223585","0.20526144215591405","0.25160524432855763"
"18","0.08254419437762296","0.08254419437762296","0.08254419437762296","0.13307657347631827","0.13307657347631827","0.13307657347631827","","","","0.11174095377432011","0.11174095377432011","0.11174095377432011","","","","0.18561212777979466","0.18561212777979466","0.18561212777979466","0.07040910034870718","0.07040910034870718","0.07040910034870718","0.07585752809026498","0.07585752809026498","0.07585752809026498","0.05718014723441936","0.05718014723441936","0.05718014723441936","0.07520637426288862","0.07520637426288862","0.07520637426288862","0.09131745506852366","0.09131745506852366","0.09131745506852366","","","","0.14041263660594655","0.14041263660594655","0.14041263660594655","0.11768141966804396","0.11768141966804396","0.11768141966804396","0.30876611701815293","0.30876611701815293","0.30876611701815293","0.11104268077437139","0.11104268077437139","0.11104268077437139","0.21945218607228906","0.21945218607228906","0.21945218607228906","0.22565393054601368","0.20311098312900583","0.2481968779630215"
