"Step","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER__MIN","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/PER__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/PER__MAX"
"0","0.10299779050439618","0.10299779050439618","0.10299779050439618","0.09829827332331727","0.09829827332331727","0.09829827332331727"
"2","0.078479883878749","0.078479883878749","0.078479883878749","0.07678805777964098","0.07678805777964098","0.07678805777964098"
"4","0.07018633733599501","0.07018633733599501","0.07018633733599501","0.06874036148574192","0.06874036148574192","0.06874036148574192"
"6","0.06425332182798528","0.06425332182798528","0.06425332182798528","0.06293396994742836","0.06293396994742836","0.06293396994742836"
"8","0.05960937705444352","0.05960937705444352","0.05960937705444352","0.058209322562703544","0.058209322562703544","0.058209322562703544"
"10","0.05522892057571643","0.05522892057571643","0.05522892057571643","0.05440125731262697","0.05440125731262697","0.05440125731262697"
"12","0.05164139738764095","0.05164139738764095","0.05164139738764095","0.05118369453771866","0.05118369453771866","0.05118369453771866"
"14","0.04829507272160396","0.04829507272160396","0.04829507272160396","0.04818173863258244","0.04818173863258244","0.04818173863258244"
"16","0.045447259530769835","0.045447259530769835","0.045447259530769835","0.04576195609796886","0.04576195609796886","0.04576195609796886"
"18","0.043042632515528104","0.043042632515528104","0.043042632515528104","0.0437078281409486","0.0437078281409486","0.0437078281409486"
"20","0.040592331730859944","0.040592331730859944","0.040592331730859944","0.041518382427520394","0.041518382427520394","0.041518382427520394"
"22","0.03867706291044804","0.03867706291044804","0.03867706291044804","0.03971368842554386","0.03971368842554386","0.03971368842554386"
"24","0.03682413775967025","0.03682413775967025","0.03682413775967025","0.03808470200494848","0.03808470200494848","0.03808470200494848"
"26","0.03526608045200643","0.03526608045200643","0.03526608045200643","0.03652919177028028","0.03652919177028028","0.03652919177028028"
"28","0.03362558586562301","0.03362558586562301","0.03362558586562301","0.03509611685180546","0.03509611685180546","0.03509611685180546"
"30","0.032425591510665416","0.032425591510665416","0.032425591510665416","0.03369752447103691","0.03369752447103691","0.03369752447103691"
"32","0.031070825663361126","0.031070825663361126","0.031070825663361126","0.032616599892861545","0.032616599892861545","0.032616599892861545"
"34","0.03008910489114664","0.03008910489114664","0.03008910489114664","0.03138474910538097","0.03138474910538097","0.03138474910538097"
"36","0.028973790569604734","0.028973790569604734","0.028973790569604734","0.030152128255805943","0.030152128255805943","0.030152128255805943"
"38","0.028053078135993604","0.028053078135993604","0.028053078135993604","0.0291908950076364","0.0291908950076364","0.0291908950076364"
"40","0.026983458372814507","0.026983458372814507","0.026983458372814507","0.028141539946666606","0.028141539946666606","0.028141539946666606"
"42","0.026186449845138127","0.026186449845138127","0.026186449845138127","0.027324501894592533","0.027324501894592533","0.027324501894592533"
"44","0.025519327102014686","0.025519327102014686","0.025519327102014686","0.026365059766909806","0.026365059766909806","0.026365059766909806"
"46","0.024700074340536147","0.024700074340536147","0.024700074340536147","0.02564228853057281","0.02564228853057281","0.02564228853057281"
"48","0.024112512958895164","0.024112512958895164","0.024112512958895164","0.024962273535825683","0.024962273535825683","0.024962273535825683"
